,   447
283,   1735.0   0.34965   0.00500
284,   1740.0   0.34655   0.00524
285,   1745.0   0.34384   0.00514
286,   1750.0   0.34088   0.00550
287,   1755.0   0.33917   0.00461
288,   1760.0   0.33671   0.00420
289,   1765.0   0.33391   0.00390
290,   1770.0   0.33167   0.00437
291,   1775.0   0.32988   0.00423
292,   1780.0   0.32801   0.00411
293,   1785.0   0.32595   0.00445
294,   1790.0   0.32420   0.00436
295,   1795.0   0.32309   0.00423
296,   1800.0   0.32101   0.00435
297,   1805.0   0.31979   0.00408
298,   1810.0   0.31788   0.00391
299,   1815.0   0.31663   0.00444
300,   1820.0   0.31652   0.00381
301,   1825.0   0.31347   0.00354
302,   1830.0   0.31332   0.00365
303,   1835.0   0.31253   0.00408
304,   1840.0   0.31040   0.00450
305,   1845.0   0.30969   0.00448
306,   1850.0   0.30917   0.00374
307,   1855.0   0.30888   0.00335
308,   1860.0   0.30779   0.00416
309,   1865.0   0.30799   0.00359
310,   1870.0   0.30737   0.00397
311,   1875.0   0.30730   0.00432
312,   1880.0   0.30719   0.00349
313,   1885.0   0.30657   0.00364
314,   1890.0   0.30769   0.00383
315,   1895.0   0.30669   0.00363
316,   1900.0   0.30894   0.00403
317,   1905.0   0.30776   0.00391
318,   1910.0   0.30677   0.00350
319,   1915.0   0.30832   0.00326
320,   1920.0   0.30962   0.00387
321,   1925.0   0.30841   0.00399
322,   1930.0   0.30949   0.00446
323,   1935.0   0.31128   0.00465
324,   1940.0   0.31214   0.00416
325,   1945.0   0.31338   0.00396
326,   1950.0   0.31382   0.00405
327,   1955.0   0.31558   0.00418
328,   1960.0   0.31696   0.00411
329,   1965.0   0.31812   0.00424
330,   1970.0   0.31980   0.00464
331,   1975.0   0.32137   0.00440
332,   1980.0   0.32295   0.00446
333,   1985.0   0.32451   0.00374
334,   1990.0   0.32716   0.00408
335,   1995.0   0.32804   0.00418
336,   2000.0   0.33107   0.00416
337,   2005.0   0.33310   0.00425
338,   2010.0   0.33452   0.00457
339,   2015.0   0.33642   0.00449
340,   2020.0   0.33925   0.00460
341,   2025.0   0.34194   0.00492
342,   2030.0   0.34484   0.00452
343,   2035.0   0.34651   0.00408
344,   2040.0   0.34937   0.00468
345,   2045.0   0.35281   0.00500
346,   2050.0   0.35592   0.00475
347,   2055.0   0.35914   0.00488
348,   2060.0   0.36215   0.00437
349,   2065.0   0.36522   0.00406
350,   2070.0   0.36780   0.00423
351,   2075.0   0.37145   0.00444
352,   2080.0   0.37527   0.00440
353,   2085.0   0.37864   0.00473
354,   2090.0   0.38246   0.00409
355,   2095.0   0.38589   0.00414
356,   2100.0   0.38890   0.00449
357,   2105.0   0.39307   0.00469
358,   2110.0   0.39662   0.00453
359,   2115.0   0.40081   0.00468
360,   2120.0   0.40482   0.00457
361,   2125.0   0.40892   0.00430
362,   2130.0   0.41217   0.00452
363,   2135.0   0.41643   0.00472
364,   2140.0   0.42028   0.00509
365,   2145.0   0.42420   0.00493
366,   2150.0   0.42889   0.00446
367,   2155.0   0.43338   0.00419
368,   2160.0   0.43733   0.00476
369,   2165.0   0.44167   0.00506
370,   2170.0   0.44643   0.00498
371,   2175.0   0.45017   0.00532
372,   2180.0   0.45486   0.00490
373,   2185.0   0.45934   0.00463
374,   2190.0   0.46288   0.00495
375,   2195.0   0.46629   0.00453
376,   2200.0   0.47130   0.00513
377,   2205.0   0.47539   0.00496
378,   2210.0   0.47895   0.00558
379,   2215.0   0.48267   0.00610
380,   2220.0   0.48718   0.00532
381,   2225.0   0.49149   0.00558
382,   2230.0   0.49450   0.00555
383,   2235.0   0.49919   0.00497
384,   2240.0   0.50234   0.00561
385,   2245.0   0.50602   0.00596
386,   2250.0   0.50938   0.00586
387,   2255.0   0.51360   0.00554
388,   2260.0   0.51674   0.00488
389,   2265.0   0.52003   0.00465
390,   2270.0   0.52252   0.00577
391,   2275.0   0.52510   0.00599
392,   2280.0   0.52885   0.00538
393,   2285.0   0.53262   0.00565
394,   2290.0   0.53654   0.00520
395,   2295.0   0.53872   0.00496
396,   2300.0   0.54228   0.00555
397,   2305.0   0.54514   0.00611
398,   2310.0   0.54726   0.00602
399,   2315.0   0.55026   0.00592
400,   2320.0   0.55289   0.00525
401,   2325.0   0.55649   0.00509
402,   2330.0   0.55860   0.00547
403,   2335.0   0.56099   0.00599
404,   2340.0   0.56444   0.00539
405,   2345.0   0.56733   0.00567
406,   2350.0   0.56876   0.00529
407,   2355.0   0.57073   0.00544
408,   2360.0   0.57323   0.00590
409,   2365.0   0.57461   0.00602
410,   2370.0   0.57671   0.00529
411,   2375.0   0.57979   0.00552
412,   2380.0   0.58251   0.00501
413,   2385.0   0.58387   0.00552
414,   2390.0   0.58616   0.00571
415,   2395.0   0.58801   0.00668
416,   2400.0   0.59109   0.00564
417,   2405.0   0.59262   0.00525
418,   2410.0   0.59489   0.00527
419,   2415.0   0.59569   0.00523
420,   2420.0   0.59794   0.00613
421,   2425.0   0.59749   0.00631
422,   2430.0   0.60016   0.00622
423,   2435.0   0.60286   0.00609
424,   2440.0   0.60385   0.00606
425,   2445.0   0.60672   0.00551
426,   2450.0   0.60720   0.00609
427,   2455.0   0.60809   0.00668
428,   2460.0   0.61135   0.00777
429,   2465.0   0.61114   0.00720
430,   2470.0   0.61322   0.00690
431,   2475.0   0.61448   0.00673
432,   2480.0   0.61664   0.00545
433,   2485.0   0.61853   0.00577
434,   2490.0   0.61916   0.00614
435,   2495.0   0.62094   0.00628
436,   2500.0   0.62082   0.00646
437,   2505.0   0.62341   0.00709
438,   2510.0   0.62341   0.00588
439,   2515.0   0.62546   0.00577
440,   2520.0   0.62291   0.00585
441,   2525.0   0.62528   0.00592
442,   2530.0   0.62812   0.00677
443,   2535.0   0.62680   0.00718
444,   2540.0   0.62246   0.00680
445,   2545.0   0.63094   0.00724
446,   2550.0   0.62523   0.00587
447, C1AG09      .ASC                        
448, AG-TJM-009                                                              
449, Hypersthene from Johnstown diogenite                                    
450, <45 um                                                                  
451, * User: A1G                                                             
452," * Research Type: Cosmochemistry,                                        "
453, * NASA PI/CoI or Sponsor: TJM                                           
454, * BVC: Visitor                                                          
455, * Public Release Date: 02/16/2009                                       
456, * Run Mode: All Samples at Each Wavelength                              
457, * Stage Type: Automatic                                                 
458, * Spinning: Yes                                                         
459, * Aperture Size: 3.5 mm                                                 
460, * Scrambler: Out                                                        
461, * Depolarizer: Out                                                      
462, RATIOS ADJUSTED USING NBS HALON CALIBRATION TABLE                       
463, Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
464, Date: 15-FEB-06   Time: 16:22:11
